avatar_id,city,date,language,mobile,hotel_id,price,stock
29725,madrid,43,spanish,0,126,78,105
29725,madrid,43,spanish,0,575,82,106
29725,madrid,43,spanish,0,525,79,106
29725,madrid,43,spanish,0,418,115,132
29725,madrid,43,spanish,0,845,178,262
29725,madrid,43,spanish,0,276,61,53
29725,madrid,43,spanish,0,54,78,132
29725,madrid,43,spanish,0,384,138,184
29725,madrid,43,spanish,0,252,136,184
29725,madrid,43,spanish,0,710,87,105
29725,madrid,43,spanish,0,729,192,265
29725,madrid,43,spanish,0,20,64,53
29725,madrid,43,spanish,0,75,82,105
29725,madrid,43,spanish,0,93,188,264
29725,madrid,43,spanish,0,780,188,265
29725,madrid,43,spanish,0,619,109,107
29725,madrid,43,spanish,0,164,107,134
29725,madrid,43,spanish,0,941,59,53
29725,madrid,43,spanish,0,322,81,53
29725,madrid,43,spanish,0,888,186,264
29725,madrid,43,spanish,0,2,82,185
29725,madrid,43,spanish,0,233,115,130
29725,madrid,43,spanish,0,538,109,107
29725,madrid,43,spanish,0,633,114,132
29725,madrid,43,spanish,0,618,81,104
29725,madrid,43,spanish,0,483,85,52
29725,madrid,43,spanish,0,789,58,53
29725,madrid,43,spanish,0,175,81,103
29725,madrid,43,spanish,0,297,189,265
29725,madrid,43,spanish,0,186,113,132
29725,madrid,43,spanish,0,798,190,265
29725,madrid,43,spanish,0,454,84,108
29725,madrid,43,spanish,0,174,128,186
29725,madrid,43,spanish,0,747,136,185
29725,madrid,43,spanish,0,185,113,132
29725,madrid,43,spanish,0,277,176,259
29725,madrid,43,spanish,0,822,135,186
29725,madrid,43,spanish,0,378,112,128
29725,madrid,43,spanish,0,67,188,265
29725,madrid,43,spanish,0,886,87,104
29725,madrid,43,spanish,0,444,82,107
29725,madrid,43,spanish,0,737,137,186
29725,madrid,43,spanish,0,689,77,105
29725,madrid,43,spanish,0,982,130,188
29725,madrid,43,spanish,0,261,86,107
29725,madrid,43,spanish,0,606,187,263
29725,madrid,43,spanish,0,909,59,52
29725,madrid,43,spanish,0,800,84,52
29725,madrid,43,spanish,0,147,128,180
29725,madrid,43,spanish,0,860,108,130
29725,madrid,43,spanish,0,609,134,186
29725,madrid,43,spanish,0,439,83,104
29725,madrid,43,spanish,0,313,62,51
29725,madrid,43,spanish,0,285,81,53
29725,madrid,43,spanish,0,901,192,263
29725,madrid,43,spanish,0,468,58,52
29725,madrid,43,spanish,0,414,58,106
29725,madrid,43,spanish,0,857,84,105
29725,madrid,43,spanish,0,966,59,52
29725,madrid,43,spanish,0,79,84,104
29725,madrid,43,spanish,0,120,116,128
29725,madrid,43,spanish,0,964,114,132
29725,madrid,43,spanish,0,411,82,52
29725,madrid,43,spanish,0,370,59,52
29725,madrid,43,spanish,0,265,189,264
29725,madrid,43,spanish,0,393,114,132
29725,madrid,43,spanish,0,791,82,107
29725,madrid,43,spanish,0,527,113,132
29725,madrid,43,spanish,0,312,85,133
29725,madrid,43,spanish,0,398,58,52
29725,madrid,43,spanish,0,939,132,178
