iter	RMSE
0	0.4219589207
1	0.3447962965
2	0.2850499515
3	0.2352070241
4	0.2050132916
5	0.1837599219
6	0.1707450826
7	0.1626067651
8	0.1570915267
9	0.150252251
10	0.1462637478
11	0.1432745656
12	0.1403970456
13	0.1387617288
14	0.1365720587
15	0.135160762
16	0.1336861517
17	0.1316378891
18	0.1310362963
19	0.1296749706
20	0.1289345976
21	0.1280651459
22	0.1273083618
23	0.1262377551
24	0.1255854212
25	0.1249743911
26	0.124704343
27	0.1239153115
28	0.1234017058
29	0.1223221662
30	0.1215787414
31	0.1209386689
32	0.1204372289
33	0.120011564
34	0.1193791497
35	0.1188067313
36	0.1184604217
37	0.1182875406
38	0.1177542736
39	0.1169203718
40	0.1166778914
41	0.1162042391
42	0.1158595257
43	0.1155584655
44	0.1154037201
45	0.1149934076
46	0.1147449795
47	0.1143665312
48	0.114179488
49	0.1136043738
50	0.1134735464
51	0.1130531746
52	0.1125157355
53	0.1123697849
54	0.1122616198
55	0.1119780932
56	0.1115620406
57	0.1110863942
58	0.1107298602
59	0.1103860131
60	0.1099787282
61	0.1096557679
62	0.1094450442
63	0.1091506913
64	0.1089578642
65	0.1086562321
66	0.1083314947
67	0.1082121867
68	0.1080132477
69	0.1078678548
70	0.1076486831
71	0.1073071747
72	0.1069527715
73	0.1068033941
74	0.106655183
75	0.1065098547
76	0.1064451476
77	0.1062269872
78	0.1061131288
79	0.1059899134
80	0.1058046105
81	0.1056118878
82	0.1054907268
83	0.1052809415
84	0.1051513277
85	0.1047955128
86	0.1047121047
87	0.1045439527
88	0.1043972112
89	0.104207967
90	0.1038679132
91	0.1037743741
92	0.1035885524
93	0.1034952969
94	0.1032099503
95	0.1030435659
96	0.1028947218
97	0.102712712
98	0.1025843606
99	0.1023732944
100	0.1021834012
101	0.1020758645
102	0.1019797627
103	0.1018307758
104	0.1016490428
105	0.1015451839
106	0.1014260086
107	0.1012480182
108	0.1011724166
109	0.1010750776
110	0.1009829777
111	0.1008629001
112	0.1005975756
113	0.1004548658
114	0.100349858
115	0.100157838
116	0.1001310883
117	0.09999445097
118	0.09991399392
119	0.0997985607
120	0.09961101245
121	0.09945049212
122	0.09939177489
123	0.09928519555
124	0.09916178333
125	0.09902941094
126	0.09891361838
127	0.09882797519
128	0.09873666853
129	0.09843048648
130	0.09829277161
131	0.09816465061
132	0.09801392374
133	0.09785870676
134	0.09775949485
135	0.09763565616
136	0.09748642917
137	0.09721943289
138	0.09711663675
139	0.09705797916
140	0.09692190628
141	0.09683999376
142	0.09670378107
143	0.09664098457
144	0.0965679261
145	0.09652182805
146	0.09644730396
147	0.09633500975
148	0.09626091467
149	0.09618644888
150	0.0960748451
151	0.09599237574
152	0.09591018205
153	0.09581173688
154	0.09569566933
155	0.09560174539
156	0.09553019882
157	0.09542240845
158	0.09533770105
159	0.09527099706
160	0.09521346793
161	0.09508153377
162	0.09493028159
163	0.09483812066
164	0.09476443288
165	0.09465992093
166	0.09458571936
167	0.09446169465
168	0.0944150012
169	0.0943473637
170	0.09428792081
171	0.09423039974
172	0.09416913868
173	0.09409869285
174	0.09404936129
175	0.09399140026
176	0.09395277491
177	0.09382796617
178	0.09364254056
179	0.09358710393
180	0.0935370192
181	0.0934723135
182	0.09339017669
183	0.0933264242
184	0.09321502845
185	0.09309558013
186	0.09304419454
187	0.09296838254
188	0.09284519182
189	0.09276830583
190	0.09266173567
191	0.09255855264
192	0.09246892005
193	0.09235054069
194	0.09224008773
195	0.09219213675
196	0.09212083476
197	0.09206878465
198	0.09202919675
199	0.09196926242
200	0.09186048048
201	0.09177157072
202	0.09173348141
203	0.09166457283
204	0.09159770101
205	0.0915491185
206	0.09146006281
207	0.09136194465
208	0.09131984669
209	0.09119793615
210	0.09115716775
211	0.091083434
212	0.09103891125
213	0.09100901276
214	0.09093910353
215	0.09088019667
216	0.09077131601
217	0.09071675342
218	0.09058812026
219	0.09049281039
220	0.09044796847
221	0.09039075793
222	0.09033177639
223	0.09028556153
224	0.09021466383
225	0.09015282656
226	0.09013353182
227	0.09008122015
228	0.09003210922
229	0.08988476769
230	0.08981424322
231	0.08977818445
232	0.08971230037
233	0.08965723082
234	0.08957215777
235	0.0894983055
236	0.0894561989
237	0.0893222222
238	0.08927319159
239	0.08918088714
240	0.08914882447
241	0.08901094769
242	0.08894193943
243	0.08890895905
244	0.08886293858
245	0.08880111675
246	0.08871849184
247	0.08864689088
248	0.08858779122
249	0.08854396486
250	0.08851227631
251	0.08844643397
252	0.08840817425
253	0.08831270472
254	0.08827663126
255	0.0882101007
256	0.08816936672
257	0.08809915178
258	0.08807095927
259	0.0880290824
260	0.08799734066
261	0.08796145118
262	0.08792408729
263	0.08789358143
264	0.08787164288
265	0.08784780467
266	0.08781494274
267	0.08774012426
268	0.08770934624
269	0.08759528163
270	0.08753726518
271	0.08750858118
272	0.08747728445
273	0.08742730473
274	0.08741598445
275	0.08738603174
276	0.08734583754
277	0.08726880447
278	0.08724742105
279	0.08721057653
280	0.0871727989
281	0.08715167446
282	0.08710875906
283	0.08704832076
284	0.08700369867
285	0.08695099953
286	0.08690529936
287	0.08687257648
288	0.08683710602
289	0.08681121333
290	0.08676926349
291	0.08671064307
292	0.08668024854
293	0.08665685229
294	0.08660775178
295	0.08652202941
296	0.08645131472
297	0.08642992113
298	0.08638227456
299	0.08636608845
300	0.08628691495
301	0.08621004908
302	0.08618823184
303	0.08615188757
304	0.08610324255
305	0.08607709396
306	0.08602659098
307	0.08592724894
308	0.08588485885
309	0.085860855
310	0.08583287547
311	0.08578599164
312	0.0857228171
313	0.08564919739
314	0.08561988674
315	0.08560465033
316	0.08558100472
317	0.08553590805
318	0.08550846233
319	0.085467243
320	0.08544727687
321	0.08541207895
322	0.08538236617
323	0.08535372038
324	0.08530513142
325	0.08526953047
326	0.08523788545
327	0.0851714888
328	0.08512752885
329	0.08509399726
330	0.08506737897
331	0.08503675708
332	0.08493188483
333	0.08489964094
334	0.0848626861
335	0.08483136226
336	0.08479085083
337	0.08475470083
338	0.08470376104
339	0.08465664518
340	0.08462220865
341	0.08459562625
342	0.08456517655
343	0.08453262973
344	0.08449559311
345	0.08445564066
346	0.08440921144
347	0.08439178558
348	0.08435211333
349	0.08433886026
350	0.08428829314
351	0.0842724162
352	0.0842585241
353	0.08422374265
354	0.08421294664
355	0.08417054776
356	0.08413220348
357	0.08410945784
358	0.08409067176
359	0.08406363227
360	0.08403513573
361	0.08401440955
362	0.08397694944
363	0.08396413546
364	0.08391659366
365	0.08387869659
366	0.08385137454
367	0.08383263323
368	0.08381334991
369	0.08378487115
370	0.08376352507
371	0.08370150118
372	0.08367313993
373	0.0836545943
374	0.08363346598
375	0.0835782535
376	0.08355405247
377	0.08353734244
378	0.08350439797
379	0.08349702955
380	0.08346348854
381	0.08344990858
382	0.08343047864
383	0.08340935514
384	0.08336885776
385	0.08335411889
386	0.08333343525
387	0.0833007932
388	0.0832720921
389	0.08322006211
390	0.08318563546
391	0.08315459493
392	0.08312407425
393	0.08310744964
394	0.08308693774
395	0.08306819411
396	0.08302731423
397	0.08300272103
398	0.08294737336
399	0.08290592993
400	0.08288851102
401	0.08286190404
402	0.08283189825
403	0.08278948626
404	0.08277019858
405	0.08275391775
406	0.08274025805
407	0.08270268965
408	0.08268338388
409	0.08265965606
410	0.08263837231
411	0.08261696877
412	0.08259829415
413	0.08254488409
414	0.0825275175
415	0.08250964865
416	0.08250073727
417	0.0824831088
418	0.08246901699
419	0.08245386766
420	0.08242978985
421	0.08240605147
422	0.08238235307
