avatar_id,city,date,language,mobile,hotel_id,price,stock
135023,vienna,8,spanish,0,255,202,11
135023,vienna,8,spanish,0,810,141,4
135023,vienna,8,spanish,0,336,134,0
135023,vienna,8,spanish,0,354,96,7
135023,vienna,8,spanish,0,57,157,0
135023,vienna,8,spanish,0,940,181,0
135023,vienna,8,spanish,0,35,87,0
135023,vienna,8,spanish,0,292,220,9
135023,vienna,8,spanish,0,210,114,6
135023,vienna,8,spanish,0,979,184,8
135023,vienna,8,spanish,0,931,244,6
135023,vienna,8,spanish,0,250,438,8
135023,vienna,8,spanish,0,524,313,6
135023,vienna,8,spanish,0,613,283,6
135023,vienna,8,spanish,0,713,298,5
135023,vienna,8,spanish,0,962,150,0
135023,vienna,8,spanish,0,943,241,10
135023,vienna,8,spanish,0,343,84,4
135023,vienna,8,spanish,0,635,142,4
135023,vienna,8,spanish,0,675,106,11
135023,vienna,8,spanish,0,462,84,0
135023,vienna,8,spanish,0,846,306,6
135023,vienna,8,spanish,0,426,176,3
135023,vienna,8,spanish,0,549,111,0
135023,vienna,8,spanish,0,535,153,0
135023,vienna,8,spanish,0,848,272,8
135023,vienna,8,spanish,0,226,112,0
135023,vienna,8,spanish,0,173,115,0
135023,vienna,8,spanish,0,662,298,6
135023,vienna,8,spanish,0,699,134,2
135023,vienna,8,spanish,0,403,352,7
135023,vienna,8,spanish,0,457,154,0
135023,vienna,8,spanish,0,646,111,5
135023,vienna,8,spanish,0,730,195,13
135023,vienna,8,spanish,0,977,119,14
135023,vienna,8,spanish,0,438,113,0
135023,vienna,8,spanish,0,692,387,8
135023,vienna,8,spanish,0,511,181,12
135023,vienna,8,spanish,0,37,225,9
135023,vienna,8,spanish,0,87,234,9
135023,vienna,8,spanish,0,26,195,7
135023,vienna,8,spanish,0,494,217,8
135023,vienna,8,spanish,0,8,143,6
135023,vienna,8,spanish,0,626,149,4
135023,vienna,8,spanish,0,652,142,6
135023,vienna,8,spanish,0,924,180,8
135023,vienna,8,spanish,0,168,403,8
135023,vienna,8,spanish,0,63,151,13
135023,vienna,8,spanish,0,877,85,0
135023,vienna,8,spanish,0,610,78,10
135023,vienna,8,spanish,0,875,111,0
135023,vienna,8,spanish,0,263,147,4
135023,vienna,8,spanish,0,220,93,6
135023,vienna,8,spanish,0,565,312,19
135023,vienna,8,spanish,0,368,79,0
135023,vienna,8,spanish,0,167,84,0
135023,vienna,8,spanish,0,116,131,2
135023,vienna,8,spanish,0,11,214,11
135023,vienna,8,spanish,0,801,241,6
135023,vienna,8,spanish,0,231,156,0
135023,vienna,8,spanish,0,315,310,16
135023,vienna,8,spanish,0,179,116,0
135023,vienna,8,spanish,0,755,84,0
135023,vienna,8,spanish,0,382,186,6
135023,vienna,8,spanish,0,666,85,0
135023,vienna,8,spanish,0,784,113,0
135023,vienna,8,spanish,0,219,224,6
135023,vienna,8,spanish,0,184,329,8
135023,vienna,8,spanish,0,268,132,3
135023,vienna,8,spanish,0,672,300,5
135023,vienna,8,spanish,0,446,112,0
135023,vienna,8,spanish,0,152,232,11
135023,vienna,8,spanish,0,456,186,6
135023,vienna,8,spanish,0,753,159,10
135023,vienna,8,spanish,0,239,350,8
135023,vienna,8,spanish,0,15,332,13
135023,vienna,8,spanish,0,928,87,0
135023,vienna,8,spanish,0,266,83,0
135023,vienna,8,spanish,0,704,113,0
135023,vienna,8,spanish,0,890,83,0
135023,vienna,8,spanish,0,68,180,8
135023,vienna,8,spanish,0,171,90,5
135023,vienna,8,spanish,0,98,157,3
135023,vienna,8,spanish,0,996,130,6
135023,vienna,8,spanish,0,278,116,0
135023,vienna,8,spanish,0,275,132,0
135023,vienna,8,spanish,0,64,85,0
135023,vienna,8,spanish,0,927,225,6
135023,vienna,8,spanish,0,661,130,5
135023,vienna,8,spanish,0,245,144,6
135023,vienna,8,spanish,0,70,187,14
135023,vienna,8,spanish,0,833,153,0
135023,vienna,8,spanish,0,428,134,7
135023,vienna,8,spanish,0,839,180,22
135023,vienna,8,spanish,0,682,150,0
135023,vienna,8,spanish,0,693,265,27
135023,vienna,8,spanish,0,33,178,2
135023,vienna,8,spanish,0,128,298,6
135023,vienna,8,spanish,0,920,109,0
135023,vienna,8,spanish,0,775,83,0
135023,vienna,8,spanish,0,703,172,8
135023,vienna,8,spanish,0,236,84,4
135023,vienna,8,spanish,0,195,151,0
135023,vienna,8,spanish,0,372,128,6
135023,vienna,8,spanish,0,530,105,5
135023,vienna,8,spanish,0,919,80,0
135028,vilnius,19,danish,1,520,89,10
135028,vilnius,19,danish,1,956,100,15
135028,vilnius,19,danish,1,632,89,9
135028,vilnius,19,danish,1,670,84,2
135028,vilnius,19,danish,1,881,143,31
135028,vilnius,19,danish,1,362,87,16
135028,vilnius,19,danish,1,118,94,16
135028,vilnius,19,danish,1,125,58,13
135028,vilnius,19,danish,1,136,91,17
135028,vilnius,19,danish,1,40,118,27
135028,vilnius,19,danish,1,84,203,47
135028,vilnius,19,danish,1,409,100,18
135028,vilnius,19,danish,1,294,64,9
135028,vilnius,19,danish,1,589,64,1
135028,vilnius,19,danish,1,765,62,17
135028,vilnius,19,danish,1,957,66,0
135028,vilnius,19,danish,1,819,127,50
135028,vilnius,19,danish,1,420,60,11
135028,vilnius,19,danish,1,356,83,12
135028,vilnius,19,danish,1,502,104,15
135028,vilnius,19,danish,1,451,116,24
135028,vilnius,19,danish,1,198,140,18
135028,vilnius,19,danish,1,240,160,29
135028,vilnius,19,danish,1,76,62,0
135028,vilnius,19,danish,1,516,236,34
135028,vilnius,19,danish,1,678,85,22
135028,vilnius,19,danish,1,820,179,20
135028,vilnius,19,danish,1,687,140,18
135028,vilnius,19,danish,1,448,118,18
135028,vilnius,19,danish,1,654,144,26
